facility_id,facility_mw,cooling_type,utilization_pct,electricity_rate_usd_kwh,colocation_usd_kw_month,pue_realized,capex_usd_per_mw,stranded_capacity_pct,stranded_capacity_mw,loss_floor_usd_annual,loss_ceiling_usd_annual,loss_mid_usd_annual,p10_loss_usd,p50_loss_usd,p90_loss_usd,recoverable_value_usd,roi_months
DC-4235,4.71,hybrid,61.9,0.1364,202.69,1.266,13665136.49,8.77,0.413,1878900.06,1004531.64,1441715.85,1341066.63,1468152.43,1613453.98,1153372.68,3.7
DC-4236,6.4,hybrid,86.2,0.1253,198.62,1.286,13303936.21,9.6,0.614,2681939.64,1463432.16,2072685.9,1757159.44,1953823.16,2133142.0,1658148.72,3.5
DC-4237,51.84,air-cooled,82.3,0.1102,179.98,1.517,11088077.09,12.76,6.615,25986737.2,14286812.4,20136774.8,18490879.58,19832473.77,21050089.25,16109419.84,2.9
DC-4238,12.46,air-cooled,71.8,0.1335,228.98,1.672,11193474.48,12.55,1.564,6948501.5,4297496.64,5622999.07,5165446.95,5475596.96,5774165.68,4498399.26,2.5
DC-4239,52.59,liquid-cooled,61.6,0.1145,202.65,1.088,17305235.08,2.09,1.099,5425646.02,2672548.2,4049097.11,4441226.32,6535786.41,9118435.18,3239277.69,14.6
DC-4240,15.45,liquid-cooled,62.8,0.1134,169.76,1.097,18601715.6,2.23,0.345,1802092.6,702806.4,1252449.5,1275929.49,1848211.62,2525132.48,1001959.6,13.9
DC-4241,3.77,liquid-cooled,65.8,0.121,195.19,1.096,16679039.81,4.69,0.177,861665.99,414583.56,638124.78,323366.88,479638.49,656565.49,510499.82,6.6
DC-4242,33.57,liquid-cooled,50.6,0.1293,184.99,1.083,17771263.58,4.11,1.38,7142671.8,3063434.4,5103053.1,2796888.69,4312883.87,5726053.65,4082442.48,7.4
DC-4243,10.26,air-cooled,60.0,0.1278,172.35,1.602,11139615.7,12.97,1.331,5681977.79,2752774.2,4217376.0,3797408.47,4029652.48,4254120.56,3373900.8,2.7
DC-4244,28.76,hybrid,54.2,0.1127,167.95,1.27,13439281.87,8.02,2.307,9782411.6,4649527.8,7215969.7,7240316.4,7987876.06,8844580.15,5772775.76,4.5
DC-4245,16.78,air-cooled,88.2,0.1369,198.92,1.629,10749542.23,12.77,2.143,9305668.13,5115426.72,7210547.43,6645787.25,7061188.29,7475524.89,5768437.94,2.6
DC-4246,4.79,liquid-cooled,79.4,0.1156,175.03,1.08,17122037.65,3.0,0.144,705393.47,302451.84,503922.66,386866.83,591844.36,796207.16,403138.13,10.7
DC-4247,18.75,air-cooled,81.4,0.1069,182.47,1.638,10528131.71,12.8,2.4,9296352.23,5255136.0,7275744.12,6734991.79,7169123.68,7600023.86,5820595.3,2.9
DC-4248,95.3,hybrid,79.1,0.0906,170.18,1.219,13705401.27,8.84,8.425,33810463.46,17205198.0,25507830.73,23222511.73,25879774.94,28551796.79,20406264.58,4.2
DC-4249,24.4,air-cooled,74.0,0.1397,172.78,1.56,10690944.37,12.07,2.945,12618882.47,6106045.2,9362463.84,9248284.99,9865143.19,10499813.44,7489971.07,2.9
DC-4250,15.71,air-cooled,89.5,0.1202,182.1,1.546,10521653.08,12.59,1.978,7844765.65,4322325.6,6083545.62,5780146.85,6166496.6,6549609.87,4866836.5,2.9
DC-4251,38.87,air-cooled,64.7,0.1242,189.82,1.58,11096628.53,12.55,4.878,20414160.78,11111303.52,15762732.15,14519334.22,15584468.55,16576772.04,12610185.72,2.8
DC-4252,19.46,liquid-cooled,73.3,0.1409,145.17,1.089,16749897.63,3.28,0.638,3232321.57,1111421.52,2171871.54,1519795.37,2339337.07,3165673.12,1737497.23,10.1
DC-4253,19.45,hybrid,81.0,0.1105,184.25,1.214,12893425.82,9.49,1.846,7458455.56,4081506.0,5769980.78,5060197.25,5553006.21,6182107.08,4615984.62,3.8
DC-4254,6.87,air-cooled,56.1,0.0925,172.81,1.581,10422752.45,12.22,0.84,3021691.27,1741924.8,2381808.04,2325353.13,2486265.14,2652419.21,1905446.43,3.2
DC-4255,19.83,hybrid,98.0,0.1214,205.04,1.233,13649553.62,9.38,1.86,8080742.56,4576492.8,6328617.68,5440435.08,6041055.66,6590892.23,5062894.14,3.5
DC-4256,37.65,hybrid,72.3,0.1262,228.14,1.211,12887332.44,8.93,3.362,14129230.92,9204080.16,11666655.54,10942262.04,12161885.91,13204567.5,9333324.43,3.6
DC-4257,8.42,air-cooled,73.7,0.1147,178.61,1.617,10361930.8,12.97,1.092,4288685.43,2340505.44,3314595.43,3057099.93,3253192.68,3454300.29,2651676.34,2.9
DC-4258,51.4,air-cooled,87.1,0.1495,158.17,1.542,12266158.57,12.3,6.322,29999451.88,11999408.88,20999430.38,19256820.66,20588958.23,21836635.88,16799544.3,2.8
DC-4259,15.28,liquid-cooled,83.0,0.0703,185.75,1.063,19146469.12,2.1,0.321,1575916.14,715509.0,1145712.57,1186082.43,1870367.52,2434391.59,916570.06,15.0
DC-4260,8.08,hybrid,72.5,0.1424,180.92,1.301,13107104.83,9.63,0.778,3528687.92,1689069.12,2608878.52,2206322.67,2440197.65,2673900.41,2087102.82,3.5
DC-4261,36.53,air-cooled,73.6,0.1358,213.57,1.598,10713135.04,12.05,4.402,18848000.52,11281621.68,15064811.1,14749536.17,15661782.78,16597156.92,12051848.88,2.7
DC-4262,13.07,hybrid,54.0,0.1291,209.0,1.252,13264999.99,8.56,1.119,4882963.07,2806452.0,3844707.54,3679756.53,4074390.51,4459220.24,3075766.03,3.8
DC-4263,30.19,air-cooled,65.3,0.06,196.98,1.7,11272504.65,12.24,3.695,12557535.22,8734093.2,10645814.21,10232458.62,10763467.65,11376728.0,8516651.37,3.2
DC-4264,13.02,air-cooled,78.2,0.1457,175.2,1.523,10647964.15,12.57,1.637,7055581.14,3441628.8,5248604.97,5023228.42,5334601.12,5687542.26,4198883.98,2.8
DC-4265,15.68,air-cooled,77.3,0.0995,194.17,1.572,11174988.39,12.67,1.987,7656939.06,4629789.48,6143364.27,5655032.66,6045823.88,6423934.94,4914691.42,2.9
DC-4266,24.41,air-cooled,86.7,0.1098,187.98,1.574,11204059.13,12.33,3.01,12051256.41,6789837.6,9420547.0,8875962.75,9483179.41,10083525.78,7536437.6,2.9
DC-4267,20.75,hybrid,70.6,0.1166,187.62,1.197,13580855.29,9.97,2.069,8773807.18,4658229.36,6716018.27,5498997.28,6126835.57,6709357.81,5372814.62,3.5
DC-4268,3.33,liquid-cooled,55.4,0.1281,160.63,1.075,17157194.78,4.75,0.158,793006.37,304554.48,548780.43,265911.0,404022.0,544811.09,439024.34,6.8
DC-4269,6.71,air-cooled,84.7,0.1328,199.93,1.617,10615106.86,12.76,0.856,3629451.99,2053680.96,2841566.48,2629971.48,2799357.03,2972950.85,2273253.18,2.7
DC-4270,34.59,air-cooled,89.2,0.1379,185.62,1.639,11353691.07,12.44,4.303,19376241.26,9584674.32,14480457.79,13328601.17,14206399.56,15066900.78,11584366.23,2.7
DC-4271,14.8,hybrid,82.8,0.1363,182.49,1.228,12456012.94,9.02,1.335,5652683.89,2923489.8,4288086.84,4021202.39,4483853.93,4922770.53,3430469.47,3.9
DC-4272,10.82,liquid-cooled,70.0,0.1251,175.0,1.095,19444658.7,3.48,0.377,2081424.35,791700.0,1436562.18,910811.89,1354063.5,1807067.44,1149249.74,8.5
DC-4273,5.55,hybrid,84.5,0.1283,172.1,1.211,12753728.48,8.59,0.477,2001117.3,985100.4,1493108.85,1467690.48,1619839.69,1778943.33,1194487.08,4.2
DC-4274,6.93,liquid-cooled,98.0,0.0982,188.76,1.068,17505855.99,4.25,0.295,1418630.81,668210.4,1043420.6,579882.93,855377.26,1148575.34,834736.48,7.5
DC-4275,3.26,air-cooled,73.4,0.105,157.76,1.539,10645900.74,12.73,0.415,1569251.09,785644.8,1177447.94,1102040.14,1176901.59,1255624.49,941958.35,3.1
DC-4276,15.16,hybrid,56.3,0.1379,195.84,1.18,13091995.85,9.63,1.46,6328774.61,3431116.8,4879945.7,4235096.6,4713664.6,5174297.76,3903956.56,3.5
DC-4277,10.19,air-cooled,65.0,0.1367,168.19,1.582,11417702.58,12.43,1.267,5614963.37,2557160.76,4086062.06,3789097.27,4043088.84,4329119.55,3268849.65,2.8
DC-4278,7.59,air-cooled,79.5,0.1345,153.12,1.545,10803750.96,12.92,0.981,4140980.96,1802528.64,2971754.8,2712751.29,2902852.08,3086964.93,2377403.84,2.9
DC-4279,15.57,air-cooled,52.7,0.1097,211.33,1.543,10722369.76,12.26,1.909,7379294.16,4841147.64,6110220.9,5961300.24,6341187.18,6744472.14,4888176.72,2.9
DC-4280,22.0,air-cooled,74.0,0.1382,171.13,1.566,12077681.67,12.83,2.823,12928716.04,5797199.88,9362957.96,8280042.79,8848550.15,9365160.86,7490366.37,2.6
DC-4281,87.76,liquid-cooled,76.6,0.0968,173.17,1.07,17279300.71,2.21,1.939,9204763.33,4029319.56,6617041.44,7004466.8,10412856.99,14284224.88,5293633.15,14.9
DC-4282,4.91,liquid-cooled,90.4,0.1415,201.02,1.083,17410055.89,4.02,0.197,1026630.66,475211.28,750920.97,439551.35,686731.23,892307.27,600736.78,7.4
DC-4283,41.58,air-cooled,87.7,0.1148,211.82,1.678,11717355.11,12.83,5.335,22894267.07,13560716.4,18227491.74,16091466.62,17115150.57,18139447.83,14581993.39,2.6
DC-4284,35.82,air-cooled,82.4,0.1537,161.0,1.585,10703488.97,12.88,4.614,20821210.8,8914248.0,14867729.4,13743085.81,14620946.73,15460718.44,11894183.52,2.7
DC-4285,8.82,air-cooled,46.0,0.0896,169.66,1.492,10854359.04,13.29,1.172,4199445.49,2386098.24,3292771.86,3151194.79,3370947.17,3576669.52,2634217.49,3.0
DC-4286,19.35,air-cooled,83.1,0.1553,170.76,1.494,11261171.73,12.21,2.363,10716115.3,4842070.56,7779092.93,7562433.84,8052305.24,8570461.66,6223274.34,2.8
DC-4287,11.4,hybrid,80.5,0.1128,198.02,1.238,13423096.79,8.03,0.915,3848684.77,2174259.6,3011472.18,3087105.59,3380469.39,3730229.07,2409177.74,4.3
DC-4288,19.08,liquid-cooled,75.1,0.1124,208.59,1.101,17784455.97,4.01,0.765,3852671.85,1914856.2,2883764.02,1677949.33,2548586.71,3337144.79,2307011.22,7.4
DC-4289,55.0,liquid-cooled,51.2,0.1239,167.8,1.061,18614291.62,3.5,1.925,10179554.87,3876180.0,7027867.44,4526391.34,6911166.27,9024386.23,5622293.95,8.8
DC-4290,26.7,hybrid,62.7,0.1061,205.22,1.22,12903148.9,9.91,2.646,10587382.49,6516145.44,8551763.96,7187644.63,7889651.61,8765399.03,6841411.17,3.5
DC-4291,24.7,hybrid,58.0,0.1186,173.36,1.199,12745317.27,8.7,2.149,8763572.55,4470607.68,6617090.12,6401210.67,7140761.54,7780887.42,5293672.1,4.2
DC-4292,11.66,air-cooled,47.8,0.1052,189.04,1.619,11732533.45,12.77,1.489,6103742.07,3377766.72,4740754.4,4374023.52,4658229.79,4938960.13,3792603.52,2.8
DC-4293,5.02,air-cooled,72.0,0.106,164.93,1.599,10809663.07,12.32,0.618,2402113.34,1223120.88,1812617.11,1732484.97,1848403.03,1972327.74,1450093.69,3.1
DC-4294,13.92,air-cooled,62.4,0.1297,182.17,1.605,10730879.18,12.71,1.769,7444298.51,3867104.76,5655701.64,5236844.02,5562957.87,5927242.08,4524561.31,2.8
DC-4295,43.18,hybrid,98.0,0.102,182.33,1.261,14300443.92,9.22,3.981,17136633.09,8710268.76,12923450.92,10957190.07,12200677.57,13432508.29,10338760.74,3.8
DC-4296,4.85,hybrid,70.0,0.1046,179.27,1.251,12908171.48,9.17,0.445,1786572.14,957301.8,1371936.97,1250746.98,1387321.48,1526610.18,1097549.58,4.0
DC-4297,7.07,air-cooled,87.5,0.0925,189.77,1.601,11089633.12,12.77,0.903,3396772.85,2056347.72,2726560.28,2491389.76,2647729.87,2816385.99,2181248.22,2.9
DC-4298,18.19,air-cooled,53.2,0.1099,168.89,1.552,11244664.29,12.17,2.214,8840417.72,4487069.52,6663743.62,6388749.58,6850362.9,7272029.97,5330994.9,3.1
DC-4299,7.48,air-cooled,65.6,0.1462,170.74,1.528,11917287.59,12.73,0.952,4384163.79,1950533.76,3167348.78,2874719.33,3047714.25,3227371.61,2533879.02,2.7
DC-4300,8.72,liquid-cooled,73.2,0.1031,190.57,1.108,17413519.72,4.53,0.395,1923795.32,903301.8,1413548.56,713466.56,1094267.25,1478546.53,1130838.85,6.9
DC-4301,11.72,air-cooled,61.1,0.1054,204.13,1.601,11198240.8,12.92,1.514,6005595.4,3708633.84,4857114.62,4380925.48,4644478.43,4920254.23,3885691.7,2.7
DC-4302,5.52,hybrid,66.9,0.1239,183.66,1.288,14112624.1,9.09,0.502,2276111.94,1106367.84,1691239.89,1471445.78,1627335.28,1787728.1,1352991.91,3.7
DC-4303,7.54,hybrid,69.4,0.1126,191.56,1.242,13542957.22,9.7,0.731,3095510.91,1680364.32,2387937.62,1979409.2,2190967.1,2428382.63,1910350.1,3.6
DC-4304,28.87,air-cooled,69.2,0.1646,195.37,1.643,10409782.47,12.29,3.548,16612871.79,8318073.12,12465472.46,12008297.98,12745669.65,13463515.42,9972377.97,2.6
DC-4305,5.78,hybrid,94.3,0.1167,196.46,1.227,13137981.61,9.32,0.539,2249734.12,1270703.28,1760218.7,1577887.1,1730752.62,1901110.33,1408174.96,3.7
DC-4306,4.58,liquid-cooled,76.5,0.1267,169.7,1.065,17108511.5,2.76,0.126,627974.73,256586.4,442280.56,370190.36,570491.8,766119.88,353824.45,11.6
DC-4307,9.93,air-cooled,77.8,0.1389,172.34,1.552,10530889.85,12.93,1.284,5429542.27,2655414.72,4042478.5,3732386.11,3969931.34,4231173.46,3233982.8,2.8
DC-4308,29.53,liquid-cooled,78.5,0.1385,173.65,1.037,18949458.46,4.26,1.258,6880179.87,2621420.4,4750800.14,2529841.18,3700490.77,5048976.23,3800640.11,7.0
DC-4309,14.05,air-cooled,79.4,0.1247,212.93,1.557,11102380.76,12.2,1.714,7143984.44,4379544.24,5761764.34,5535520.07,5894316.96,6240768.9,4609411.47,2.7
DC-4310,11.34,air-cooled,71.0,0.1168,191.62,1.547,10718700.88,12.92,1.465,5808394.53,3368679.6,4588537.07,4201726.99,4478004.83,4794572.98,3670829.66,2.8
DC-4311,17.04,liquid-cooled,68.2,0.1605,190.95,1.061,16893516.6,2.94,0.501,2628175.65,1147991.4,1888083.52,1485897.97,2209060.18,3046571.91,1510466.82,10.2
DC-4312,4.07,hybrid,74.0,0.118,189.49,1.218,14422881.34,8.16,0.332,1482083.52,754928.16,1118505.84,1086038.09,1194420.51,1322402.69,894804.67,4.1
DC-4313,24.43,liquid-cooled,85.9,0.1112,164.19,1.107,17432417.9,4.88,1.192,5903037.45,2348573.76,4125805.6,1889039.42,2929329.14,3987198.83,3300644.48,6.7
DC-4314,22.35,hybrid,85.5,0.1071,213.07,1.198,12874475.84,9.89,2.21,8806747.1,5650616.4,7228681.75,6117234.35,6808691.82,7432848.93,5782945.4,3.5
DC-4315,11.85,liquid-cooled,69.1,0.0855,191.19,1.063,18358491.66,4.36,0.517,2520804.4,1186142.76,1853473.58,966221.98,1448868.26,1941095.95,1482778.86,7.2
DC-4316,36.77,hybrid,81.2,0.1364,194.85,1.215,13463592.73,8.66,3.184,14148642.91,7444828.8,10796735.86,10250146.44,11269843.98,12442012.6,8637388.69,3.8
DC-4317,6.67,hybrid,69.7,0.073,157.52,1.258,13291053.54,9.59,0.64,2405141.31,1209753.6,1807447.46,1557529.51,1717214.64,1879043.54,1445957.97,4.2
DC-4318,40.54,hybrid,72.4,0.1199,195.69,1.287,14766416.12,9.91,4.018,18616168.64,9435389.04,14025778.84,10924521.29,11982621.69,13142203.4,11220623.07,3.3
DC-4319,18.61,air-cooled,66.3,0.1159,178.66,1.552,11128346.52,12.18,2.267,9178372.66,4860266.64,7019319.65,6748280.64,7198262.81,7705939.93,5615455.72,3.0
DC-4320,12.56,liquid-cooled,69.8,0.1648,164.16,1.08,17052400.4,4.66,0.585,3128908.86,1152403.2,2140656.03,1059399.23,1655171.71,2174741.25,1712524.82,6.6
DC-4321,16.19,air-cooled,88.1,0.0834,169.69,1.556,10480045.7,12.83,2.077,7198233.46,4229353.56,5713793.51,5336481.06,5700175.49,6100824.19,4571034.81,3.2
DC-4322,15.09,air-cooled,73.1,0.102,165.03,1.595,11548830.35,12.48,1.883,7516128.47,3729017.88,5622573.18,5130593.41,5484473.36,5867542.1,4498058.54,3.0
DC-4323,43.65,air-cooled,73.6,0.1173,164.77,1.591,11583302.24,12.66,5.526,23258359.48,10926228.24,17092293.86,15406463.38,16477117.74,17534299.44,13673835.09,2.9
DC-4324,6.95,hybrid,54.6,0.116,184.91,1.217,13142594.05,9.34,0.649,2698050.82,1440079.08,2069064.95,1848091.31,2024286.98,2228331.6,1655251.96,3.8
DC-4325,8.94,air-cooled,68.3,0.109,178.2,1.533,10416903.22,12.03,1.075,4062034.89,2298780.0,3180407.44,3165261.88,3395963.59,3620744.32,2544325.95,3.2
DC-4326,37.68,air-cooled,69.1,0.1184,189.01,1.49,10776643.31,12.61,4.751,18719955.69,10775838.12,14747896.9,13959277.68,14905504.5,15864149.31,11798317.52,2.9
DC-4327,10.21,liquid-cooled,62.1,0.0948,209.14,1.053,18037886.55,2.58,0.263,1284197.7,660045.84,972121.77,880390.96,1253898.04,1743294.31,777697.42,11.8
DC-4328,33.8,air-cooled,72.3,0.1271,182.06,1.469,11092546.69,12.2,4.124,16910829.45,9009785.28,12960307.36,12694666.63,13493258.76,14417319.45,10368245.89,2.9
DC-4329,64.04,hybrid,66.8,0.0736,150.33,1.217,12441855.8,9.91,6.346,22525130.53,11447930.16,16986530.34,14576283.73,16282076.92,17848704.63,13589224.27,4.2
DC-4330,11.92,air-cooled,73.0,0.1195,180.37,1.556,11391392.76,12.73,1.517,6311133.43,3283455.48,4797294.46,4370029.76,4651109.94,4983329.15,3837835.57,2.8
DC-4331,28.36,air-cooled,73.5,0.108,201.9,1.624,11000065.54,12.79,3.627,14438698.66,8787495.6,11613097.13,10615743.85,11249177.07,11965208.14,9290477.7,2.7
DC-4332,6.53,air-cooled,60.5,0.1403,182.71,1.599,11001217.45,12.01,0.784,3457385.72,1718935.68,2588160.7,2505463.43,2681192.98,2836164.73,2070528.56,2.8
DC-4333,30.08,hybrid,67.2,0.1551,206.94,1.229,13497743.58,9.3,2.797,13060063.92,6945734.16,10002899.04,8798297.05,9733657.38,10641263.41,8002319.23,3.4
DC-4334,19.29,air-cooled,72.9,0.1134,190.79,1.484,10647315.9,12.84,2.477,9512304.34,5671041.96,7591673.15,7072448.47,7560822.59,8034123.23,6073338.52,2.9
DC-4335,24.01,liquid-cooled,86.2,0.1478,156.43,1.096,16469424.49,3.65,0.876,4449111.14,1644392.16,3046751.65,1965817.52,3134356.97,4047607.9,2437401.32,8.9
DC-4336,9.81,air-cooled,75.1,0.1137,185.64,1.576,10891814.19,12.48,1.224,4883904.51,2726680.32,3805292.42,3583872.08,3822114.84,4064017.86,3044233.94,2.9
DC-4337,4.35,air-cooled,64.1,0.1007,188.46,1.518,10656545.96,12.09,0.526,1949985.99,1189559.52,1569772.76,1558076.23,1660844.03,1762668.53,1255818.21,3.1
DC-4338,24.6,air-cooled,76.8,0.1549,200.21,1.583,11785942.16,12.68,3.119,14868612.82,7493459.88,11181036.35,10104297.9,10700890.8,11316296.63,8944829.08,2.5
DC-4339,3.16,air-cooled,92.5,0.1304,211.29,1.595,10528013.06,12.44,0.393,1635482.6,996443.64,1315963.12,1259714.66,1342605.96,1416903.07,1052770.5,2.7
DC-4340,12.76,hybrid,83.0,0.1201,197.62,1.214,13797078.57,9.49,1.211,5259660.88,2871813.84,4065737.36,3432488.69,3851404.6,4224283.96,3252589.89,3.5
DC-4341,34.92,liquid-cooled,78.6,0.1337,190.61,1.077,15763321.61,3.67,1.282,6107903.98,2932344.24,4520124.11,3007685.07,4706825.33,6134177.41,3616099.29,8.7
DC-4342,19.17,hybrid,80.7,0.1255,194.14,1.219,13412172.15,9.21,1.766,7630227.14,4114214.88,5872221.01,5279269.41,5788743.19,6341920.52,4697776.81,3.7
DC-4343,78.15,air-cooled,89.3,0.1186,181.48,1.651,11411687.12,12.4,9.691,41198513.01,21104672.16,31151592.58,28617822.11,30563425.44,32566587.2,24921274.06,2.8
DC-4344,37.34,air-cooled,84.9,0.0935,162.06,1.561,11098608.23,12.24,4.57,17114238.91,8887370.4,13000804.66,12444452.61,13230149.13,14131361.68,10400643.73,3.2
DC-4345,9.75,air-cooled,78.8,0.1146,184.62,1.631,11107293.66,12.07,1.177,4832340.46,2607572.88,3719956.67,3565996.44,3810184.9,4043963.86,2975965.34,2.9
DC-4346,16.81,liquid-cooled,84.8,0.1325,189.48,1.107,16191095.77,3.93,0.661,3227607.6,1502955.36,2365281.48,1492889.62,2177329.96,2904126.23,1892225.18,8.0
DC-4347,15.83,air-cooled,59.0,0.1175,165.95,1.617,10965823.1,12.19,1.93,7915369.42,3843402.0,5879385.71,5609750.13,5997978.02,6389233.47,4703508.57,3.0
DC-4348,4.64,hybrid,54.0,0.138,203.9,1.254,13803585.49,9.4,0.436,1998361.95,1066804.8,1532583.38,1313061.16,1447560.65,1590072.99,1226066.7,3.4
DC-4349,7.75,air-cooled,73.9,0.1277,199.08,1.599,10137693.19,12.72,0.986,3984963.62,2355514.56,3170239.09,3012804.77,3194419.48,3399867.23,2536191.27,2.8
DC-4350,10.5,air-cooled,72.8,0.1024,163.42,1.539,11261559.7,12.7,1.334,5180040.4,2616027.36,3898033.88,3584639.79,3826943.06,4053139.09,3118427.1,3.0
DC-4351,3.23,air-cooled,65.5,0.0936,204.49,1.599,10019762.77,12.41,0.401,1418614.34,984005.88,1201310.11,1171917.41,1254972.3,1334672.82,961048.09,3.0
DC-4352,17.08,air-cooled,81.9,0.1169,179.38,1.692,11373397.28,12.66,2.162,9210344.99,4653834.72,6932089.86,6207339.47,6613597.78,7021219.45,5545671.89,2.8
DC-4353,13.47,hybrid,49.6,0.1095,172.32,1.289,13336606.13,9.19,1.238,5199754.54,2559985.92,3879870.23,3457933.25,3810945.23,4187090.68,3103896.18,3.9
DC-4354,4.31,air-cooled,65.6,0.1267,200.19,1.613,10967302.98,12.43,0.536,2265904.75,1287622.08,1776763.42,1665796.56,1784081.74,1886594.54,1421410.74,2.7
DC-4355,22.72,hybrid,66.2,0.1056,183.23,1.241,13800189.44,9.07,2.061,8686503.42,4531644.36,6609073.89,5911074.29,6484400.4,7095119.12,5287259.11,3.9
DC-4356,29.16,air-cooled,52.4,0.1077,212.49,1.732,10399073.77,12.88,3.756,14817285.33,9577349.28,12197317.3,11121095.0,11819236.6,12574431.41,9757853.84,2.7
DC-4357,19.72,liquid-cooled,89.9,0.1411,171.21,1.081,18251485.67,4.5,0.887,4782740.03,1822359.24,3302549.64,1644398.83,2568336.33,3396431.05,2642039.71,6.7
DC-4358,12.69,air-cooled,55.7,0.123,158.03,1.555,10662167.08,12.13,1.539,6225027.02,2918498.04,4571762.53,4488585.64,4779444.41,5085684.81,3657410.02,3.1
DC-4359,26.39,liquid-cooled,64.9,0.1059,179.79,1.047,16179247.53,2.44,0.644,2940937.73,1389417.12,2165177.42,2146312.19,3246924.71,4401865.2,1732141.94,13.7
DC-4360,28.34,hybrid,82.9,0.1204,195.84,1.27,14043637.4,9.93,2.814,12551234.65,6613125.12,9582179.88,7771699.22,8510999.69,9305010.62,7665743.9,3.3
DC-4361,21.03,liquid-cooled,79.8,0.1476,170.09,1.082,17921752.23,2.04,0.429,2308711.39,875623.32,1592167.36,1745006.86,2625655.39,3568409.43,1273733.89,14.9
DC-4362,8.5,air-cooled,58.7,0.1259,164.05,1.714,11930147.25,12.23,1.04,4723146.49,2047344.0,3385245.24,3074414.21,3283325.97,3496423.44,2708196.19,2.8
DC-4363,20.52,hybrid,80.2,0.1319,187.43,1.247,13699833.74,9.54,1.958,8782111.99,4403855.28,6592983.64,5595243.87,6200767.12,6768545.07,5274386.91,3.5
DC-4364,42.79,air-cooled,75.5,0.105,162.04,1.64,11724459.72,12.63,5.404,22231556.09,10507969.92,16369763.0,14600568.33,15647742.81,16778259.25,13095810.4,2.9
DC-4365,10.2,air-cooled,98.0,0.1405,188.6,1.583,11922912.86,12.96,1.322,6078372.15,2991950.4,4535161.28,3970957.36,4237321.86,4499615.26,3628129.02,2.5
DC-4366,88.09,air-cooled,76.8,0.1664,178.89,1.537,11242206.07,12.58,11.082,52514246.63,23789507.76,38151877.2,35638760.65,37732771.43,40205555.73,30521501.76,2.6
DC-4367,10.8,air-cooled,70.3,0.1042,191.42,1.723,11299493.0,12.37,1.336,5455875.38,3068845.44,4262360.41,3909172.57,4168031.54,4451941.11,3409888.33,2.9
DC-4368,16.88,liquid-cooled,61.7,0.0964,163.24,1.064,16480288.83,2.34,0.395,1801514.46,773757.6,1287636.03,1326520.91,1944845.32,2696270.97,1030108.82,14.7
DC-4369,9.6,air-cooled,63.1,0.1235,203.47,1.661,10886787.45,12.46,1.196,5042641.65,2920201.44,3981421.54,3714141.57,3954039.08,4209507.14,3185137.23,2.7
DC-4370,19.66,hybrid,62.1,0.1375,181.25,1.245,12161980.12,9.15,1.799,7559874.28,3912825.0,5736349.64,5303306.13,5872600.79,6470947.96,4589079.71,3.9
DC-4371,4.08,hybrid,88.5,0.1182,195.45,1.195,13588404.55,8.12,0.331,1409062.6,776327.4,1092695.0,1095759.16,1218666.86,1336358.34,874156.0,4.2
DC-4372,10.62,air-cooled,72.2,0.0989,198.4,1.6,10723863.15,12.4,1.317,4964119.5,3135513.6,4049816.55,3834072.63,4118398.14,4391648.61,3239853.24,3.0
DC-4373,6.86,hybrid,78.8,0.1178,166.64,1.258,14789993.21,9.7,0.665,3048912.34,1329787.2,2189349.77,1758795.62,1945674.13,2142926.88,1751479.82,3.5
DC-4374,18.33,air-cooled,90.2,0.132,197.23,1.535,11095740.66,12.54,2.299,9749303.42,5441181.24,7595242.33,7112948.23,7588454.61,8075545.72,6076193.86,2.7
DC-4375,36.44,hybrid,43.7,0.1119,162.62,1.199,13881245.13,9.44,3.44,14654515.91,6712953.6,10683734.75,10461384.01,11414979.58,12632248.67,8546987.8,3.8
DC-4376,27.57,air-cooled,87.3,0.1321,163.45,1.417,12142936.96,12.12,3.341,14493849.92,6553037.4,10523443.66,10052994.32,10770016.8,11406570.24,8418754.93,2.9
DC-4377,2.47,liquid-cooled,72.7,0.1433,213.46,1.073,16950656.29,3.93,0.097,496034.53,248467.44,372250.98,212413.85,328665.92,445154.46,297800.78,7.5
DC-4378,84.24,hybrid,77.2,0.1248,200.68,1.273,12367506.02,9.37,7.893,32677330.78,19007606.88,25842468.83,23042023.78,25599995.9,28296092.12,20673975.06,3.7
DC-4379,20.83,liquid-cooled,62.1,0.1194,215.1,1.055,18842048.9,3.86,0.804,4253636.69,2075284.8,3164460.74,1816211.52,2809881.45,3734526.15,2531568.59,7.4
DC-4380,8.84,air-cooled,62.9,0.1366,178.45,1.473,10974180.61,12.5,1.105,4642461.0,2366247.0,3504354.0,3369359.31,3560764.16,3795253.15,2803483.2,2.8
DC-4381,18.65,air-cooled,77.9,0.1029,185.54,1.587,10183219.06,12.73,2.374,8768287.61,5285663.52,7026975.56,6657391.33,7101703.89,7541540.41,5621580.45,3.0
DC-4382,18.93,air-cooled,98.0,0.1009,191.91,1.536,11390822.93,12.89,2.44,9489013.13,5619124.8,7554068.96,6832396.48,7270564.68,7737692.03,6043255.17,2.8
DC-4383,9.65,air-cooled,84.0,0.1147,183.82,1.538,10734135.91,12.27,1.184,4653952.2,2611714.56,3632833.38,3527311.74,3768185.06,4016832.81,2906266.7,3.0
